attack,level,RA_error_mean,DEC_error_mean,Roll_error_mean,RA_error_std,DEC_error_std,Roll_error_std,sig_gen_mean,sig_adv_mean,Nr_gen_mean,Nr_adv_mean,sig_gen_std,sig_adv_std,Nr_gen_std,Nr_adv_std
gaussian_blur,heavy,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
gaussian_blur,moderate,-0.002600000000001046,-0.0024999999999977263,0.012100000000003774,,,,0.02467162842524917,0.0035832,20.624792358803987,6.0,0.7295035333479021,,5.348764575307064,
gaussian_blur,subtle,0.00011829245804904387,0.00023901899317717429,0.06645155817812999,0.0029254220120158306,0.0028476806452562547,8.466348230371404,0.02467162842524917,0.015075527635471769,20.624792358803987,10.305396711937098,0.7295035333479021,0.9318298971105294,5.348764575307064,3.2065916531824055
gaussian_blur,very_heavy,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
gaussian_blur,very_subtle,9.83493810164396e-06,6.433975240715738e-05,-0.00032065566254024216,0.0015186809593453231,0.0012490893666582481,7.708410414959533,0.02467162842524917,0.012284726046481991,20.624792358803987,20.886759002770084,0.7295035333479021,0.31776286711661467,5.348764575307064,5.341986563589505
partial_occlusion,heavy,0.0003928794503429044,0.0009161149281699274,-0.22796976889444062,0.012075284127758287,0.008042512209924422,8.996617760723222,0.02467162842524917,0.029535930286730995,20.624792358803987,13.894451145958987,0.7295035333479021,0.5540497105588725,5.348764575307064,4.981348976790465
partial_occlusion,moderate,0.0007861208576998298,0.00017610136452244645,0.13862175438596516,0.0055935605493073115,0.0033804547999208103,12.312414087819342,0.02467162842524917,0.010200234198682226,20.624792358803987,17.25715361445783,0.7295035333479021,0.48445303688381214,5.348764575307064,5.086200972430136
partial_occlusion,subtle,-8.270897605416387e-05,7.257235199047481e-06,-0.10678288526516816,0.0025572893643674524,0.0019607379512908644,10.686987787048166,0.02467162842524917,0.012140160309788922,20.624792358803987,18.896585918685368,0.7295035333479021,0.3446360311105536,5.348764575307064,5.0424453383425885
partial_occlusion,very_heavy,0.0009461538461538274,-0.0012653846153844446,-0.029082051282051824,0.02880269509533925,0.019316225780974142,0.07737163603847351,0.02467162842524917,0.00022195596000000004,20.624792358803987,12.6125,0.7295035333479021,0.00016538925064213893,5.348764575307064,4.554852051954034
partial_occlusion,very_subtle,-5.7677039313712086e-05,-5.9393008067616554e-05,0.04573502369061321,0.002068088623833927,0.001600908006425795,7.056156118253251,0.02467162842524917,0.01821750445392024,20.624792358803987,19.998765279664156,0.7295035333479021,0.5584998223927596,5.348764575307064,5.0817470015147235
radiation_streaks,heavy,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
radiation_streaks,moderate,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
radiation_streaks,subtle,-0.00036296296296694174,0.00045555555555534913,0.007358024691358069,0.00409198742802225,0.002193114224111407,0.02764037293614761,0.02467162842524917,1.5618604407108432,20.624792358803987,17.433734939759034,0.7295035333479021,13.047030061412695,5.348764575307064,5.220019556743893
radiation_streaks,very_heavy,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
radiation_streaks,very_subtle,3.1057332180799995e-05,2.1276289253824215e-05,0.051482685105157015,0.0018480688838644161,0.0015143565708470598,7.483260899584219,0.02467162842524917,0.018496994444263434,20.624792358803987,20.401977165135058,0.7295035333479021,0.5081224501832008,5.348764575307064,5.093260479794199
salt_pepper,heavy,-0.0007931034482811191,0.004131034482758671,0.0057448275862094335,0.00619648120391023,0.005621966067405183,0.05554849609773126,0.02467162842524917,0.0003451567931034483,20.624792358803987,8.172413793103448,0.7295035333479021,0.0002691091830703903,5.348764575307064,1.0713464664764276
salt_pepper,moderate,-0.0008784753363225273,0.0019322869955157322,0.009089686098655287,0.005657243097721327,0.004744967715376513,0.05287296122102018,0.02467162842524917,0.004094008624561404,20.624792358803987,7.31140350877193,0.7295035333479021,0.05501312421083506,5.348764575307064,1.2397426741616238
salt_pepper,subtle,0.0005176405733175478,0.0008097023153252068,-0.4013830209481803,0.005161221700139448,0.0036191138737782266,11.951191135177062,0.02467162842524917,0.0045159289474162164,20.624792358803987,7.993513513513514,0.7295035333479021,0.1204622818147896,5.348764575307064,1.6896556557287745
salt_pepper,very_heavy,-0.0007500000000106866,0.012150000000000105,0.0002000000000066393,0.0028991378029007944,0.002050609665441233,0.02743574311006454,0.02467162842524917,0.0012803749999999998,20.624792358803987,7.5,0.7295035333479021,0.0010741305559614249,5.348764575307064,0.7071067811865476
salt_pepper,very_subtle,0.00034925937598439204,0.00041720768988339456,-0.0030215253703120004,0.003588592808873641,0.0035020936118081982,9.038247811382936,0.02467162842524917,0.05405757973339456,20.624792358803987,11.088766452402815,0.7295035333479021,1.4654087829161178,5.348764575307064,3.328708362988674
star_spoofing,heavy,-2.9610389610363702e-05,0.00019998268398267713,-0.06200512554112555,0.0025948964266574483,0.002003956512475086,8.20460281999166,0.02467162842524917,0.05280788116215821,20.624792358803987,10.01242861941552,0.7295035333479021,1.8362960489853233,5.348764575307064,3.032748084009873
star_spoofing,moderate,-8.65945045790421e-06,0.00023084096586175853,0.00018454621149022055,0.002429530106914207,0.0020003167742607512,6.570122138754009,0.02467162842524917,0.03746143177867797,20.624792358803987,10.1727199354318,0.7295035333479021,1.661955037235013,5.348764575307064,3.0365120084471875
star_spoofing,subtle,2.001784651994638e-05,9.953896490183192e-05,0.10752339381320626,0.002959828860008457,0.0020750362605962145,8.77997356307294,0.02467162842524917,0.03965356006784891,20.624792358803987,15.201989619377162,0.7295035333479021,1.0433232496429627,5.348764575307064,3.473081416665149
star_spoofing,very_heavy,-4.529422035944971e-05,0.00016385542168674097,-0.06242594726733028,0.002268867440369468,0.0019614783959504088,8.238963827169512,0.02467162842524917,0.05700774232401969,20.624792358803987,9.981836700050925,0.7295035333479021,1.5408763174260698,5.348764575307064,3.0225821421305032
star_spoofing,very_subtle,-6.187822209828046e-05,8.471506200373533e-06,0.04972584645395003,0.0018942289681342912,0.0015141871323394388,7.359938231135378,0.02467162842524917,0.011552797036188294,20.624792358803987,19.552198543296466,0.7295035333479021,0.3997349618397052,5.348764575307064,4.763435126028753
tiny_noise,heavy,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
tiny_noise,moderate,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
tiny_noise,subtle,7.999999999981355e-05,-0.001239999999999597,0.004840000000004352,0.0023220680437921713,0.002117309613637246,0.028982632730656096,0.02467162842524917,0.00021077166666666665,20.624792358803987,6.666666666666667,0.7295035333479021,0.00025246490206020056,5.348764575307064,1.2110601416389966
tiny_noise,very_heavy,,,,,,,0.02467162842524917,,20.624792358803987,,0.7295035333479021,,5.348764575307064,
tiny_noise,very_subtle,-0.00022207189014509257,-7.081987075928725e-05,-0.2907653877221328,0.0032939781987355813,0.002930442996647324,12.526631112675641,0.02467162842524917,0.03159362350958284,20.624792358803987,9.889216843762298,0.7295035333479021,1.0043622876919824,5.348764575307064,2.7040112157311547
