filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_172901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0023955,13.0,345.3012,-6.0221,-156.2303,20090107_172901_s4h1A.fts,star_spoofing,subtle,20090107_172901_s4h1A.fts,genuine,340.0,5.0,0.0015964,11.0,345.3008,-6.0224,-156.2294,0.0004000000000132786,0.000300000000000189,-0.0009000000000014552
20090107_180901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0035498,14.0,345.3273,-6.0109,-156.2238,20090107_180901_s4h1A.fts,star_spoofing,subtle,20090107_180901_s4h1A.fts,genuine,340.0,-5.0,0.0029984,17.0,345.3273,-6.0109,-156.2284,0.0,0.0,0.004599999999982174
20090107_184901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090107_184901_s4h1A.fts,star_spoofing,subtle,20090107_184901_s4h1A.fts,genuine,340.0,-5.0,0.0016919,16.0,345.3538,-5.9998,-156.2212,,,
20090107_192901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.001765,12.0,345.3802,-5.9886,-156.2182,20090107_192901_s4h1A.fts,star_spoofing,subtle,20090107_192901_s4h1A.fts,genuine,340.0,-5.0,0.00088129,14.0,345.3806,-5.9889,-156.223,-0.0004000000000132786,0.000300000000000189,0.004800000000017235
20090107_200901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0025129,12.0,345.4076,-5.9782,-156.2199,20090107_200901_s4h1A.fts,star_spoofing,subtle,20090107_200901_s4h1A.fts,genuine,340.0,-5.0,0.00084408,14.0,345.4076,-5.9788,-156.2209,0.0,0.0005999999999994898,0.0010000000000047748
20090107_212901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,5.0,0.001292,9.0,345.4607,-5.9557,-156.2089,20090107_212901_s4h1A.fts,star_spoofing,subtle,20090107_212901_s4h1A.fts,genuine,340.0,5.0,0.00062063,10.0,345.4605,-5.9562,-156.2116,0.0001999999999497959,0.0004999999999997229,0.0027000000000043656
20090107_224901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0014645,13.0,345.5135,-5.9336,-156.2133,20090107_224901_s4h1A.fts,star_spoofing,subtle,20090107_224901_s4h1A.fts,genuine,340.0,5.0,0.0014174,11.0,345.514,-5.9342,-156.2071,-0.0004999999999881766,0.0005999999999994898,-0.006200000000006867
20090108_000901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0011186,12.0,345.5666,-5.9112,-156.1976,20090108_000901_s4h1A.fts,star_spoofing,subtle,20090108_000901_s4h1A.fts,genuine,340.0,-5.0,0.00051278,11.0,345.5668,-5.9115,-156.2027,-0.0002000000000066393,0.000300000000000189,0.005099999999998772
20090108_004901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_004901_s4h1A.fts,star_spoofing,subtle,20090108_004901_s4h1A.fts,genuine,340.0,-5.0,0.00041452,11.0,345.5936,-5.9007,-156.1989,,,
20090108_012901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_012901_s4h1A.fts,star_spoofing,subtle,20090108_012901_s4h1A.fts,genuine,350.0,-55.0,0.001086,14.0,345.6204,-5.8895,-156.1977,,,
20090108_020901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.001532,9.0,345.6472,-5.8783,-156.1905,20090108_020901_s4h1A.fts,star_spoofing,subtle,20090108_020901_s4h1A.fts,genuine,340.0,5.0,0.0014398,11.0,345.647,-5.8784,-156.1939,0.0002000000000066393,9.999999999976694e-05,0.003400000000027603
20090108_024901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.00048073,9.0,345.6733,-5.8667,-156.1879,20090108_024901_s4h1A.fts,star_spoofing,subtle,20090108_024901_s4h1A.fts,genuine,340.0,5.0,0.00057982,10.0,345.6741,-5.8673,-156.1903,-0.0008000000000265572,0.000600000000000378,0.0023999999999944066
20090108_044901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0021945,12.0,345.7529,-5.8333,-156.1733,20090108_044901_s4h1A.fts,star_spoofing,subtle,20090108_044901_s4h1A.fts,genuine,340.0,5.0,0.00089227,10.0,345.7534,-5.8336,-156.1833,-0.0004999999999881766,0.0002999999999993008,0.009999999999990905
20090108_052901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,-5.0,0.0035406,12.0,345.7798,-5.8224,-156.1786,20090108_052901_s4h1A.fts,star_spoofing,subtle,20090108_052901_s4h1A.fts,genuine,340.0,5.0,0.00092795,10.0,345.7796,-5.8223,-156.1777,0.0002000000000066393,-9.999999999976694e-05,-0.0009000000000014552
20090108_060901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,5.0,0.00085997,8.0,345.8075,-5.8117,-156.1759,20090108_060901_s4h1A.fts,star_spoofing,subtle,20090108_060901_s4h1A.fts,genuine,340.0,5.0,0.00090492,9.0,345.806,-5.8115,-156.1799,0.0015000000000213731,-0.00020000000000042206,0.003999999999990678
20090108_064901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_064901_s4h1A.fts,star_spoofing,subtle,20090108_064901_s4h1A.fts,genuine,340.0,5.0,0.00090938,10.0,345.8335,-5.8011,-156.1753,,,
20090108_072901_s4h1A__star_spoofing__subtle.fts,adversarial,340.0,5.0,0.00083359,8.0,345.8601,-5.7898,-156.17,20090108_072901_s4h1A.fts,star_spoofing,subtle,20090108_072901_s4h1A.fts,genuine,340.0,5.0,0.00093112,10.0,345.8604,-5.7898,-156.1731,-0.0003000000000383807,0.0,0.003100000000017644
20090108_112901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_112901_s4h1A.fts,star_spoofing,subtle,20090108_112901_s4h1A.fts,genuine,340.0,5.0,0.00040824,9.0,346.0193,-5.7231,-156.1511,,,
20090108_120901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_120901_s4h1A.fts,star_spoofing,subtle,20090108_120901_s4h1A.fts,genuine,350.0,-35.0,0.00061658,10.0,346.0468,-5.713,-156.149,,,
20090108_124901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_124901_s4h1A.fts,star_spoofing,subtle,20090108_124901_s4h1A.fts,genuine,340.0,5.0,0.00069153,10.0,346.0729,-5.7016,-156.146,,,
20090108_132901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_132901_s4h1A.fts,star_spoofing,subtle,20090108_132901_s4h1A.fts,genuine,340.0,5.0,0.00043467,9.0,346.0997,-5.6897,-156.1401,,,
20090108_180901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090108_180901_s4h1A.fts,star_spoofing,subtle,20090108_180901_s4h1A.fts,genuine,340.0,5.0,0.00068643,10.0,346.287,-5.6125,-156.1173,,,
20090109_060901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090109_060901_s4h1A.fts,star_spoofing,subtle,20090109_060901_s4h1A.fts,genuine,340.0,-5.0,0.00036367,6.0,346.7653,-5.4124,-156.0682,,,
20090109_092901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090109_092901_s4h1A.fts,star_spoofing,subtle,20090109_092901_s4h1A.fts,genuine,340.0,-5.0,0.00048363,6.0,346.8992,-5.3589,-156.0654,,,
20090109_100901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090109_100901_s4h1A.fts,star_spoofing,subtle,20090109_100901_s4h1A.fts,genuine,340.0,-5.0,0.00040413,6.0,346.925,-5.3464,-156.0535,,,
20090109_104901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090109_104901_s4h1A.fts,star_spoofing,subtle,20090109_104901_s4h1A.fts,genuine,340.0,-5.0,0.00050084,6.0,346.952,-5.3358,-156.0558,,,
20090109_120901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090109_120901_s4h1A.fts,star_spoofing,subtle,20090109_120901_s4h1A.fts,genuine,340.0,5.0,0.00091275,10.0,347.0051,-5.3138,-156.0538,,,
20090109_124901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090109_124901_s4h1A.fts,star_spoofing,subtle,20090109_124901_s4h1A.fts,genuine,,,,,,,,,,
20090109_132901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090109_132901_s4h1A.fts,star_spoofing,subtle,20090109_132901_s4h1A.fts,genuine,350.0,-5.0,0.00049401,16.0,347.0582,-5.2916,-156.0368,,,
20090110_000901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_000901_s4h1A.fts,star_spoofing,subtle,20090110_000901_s4h1A.fts,genuine,350.0,-5.0,9.0589e-05,8.0,347.4834,-5.1134,-156.0048,,,
20090110_124901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_124901_s4h1A.fts,star_spoofing,subtle,20090110_124901_s4h1A.fts,genuine,350.0,-5.0,0.0001968,16.0,347.9911,-4.902,-155.9628,,,
20090110_132901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_132901_s4h1A.fts,star_spoofing,subtle,20090110_132901_s4h1A.fts,genuine,350.0,-5.0,0.00015981,16.0,348.0178,-4.8912,-155.9726,,,
20090110_140901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_140901_s4h1A.fts,star_spoofing,subtle,20090110_140901_s4h1A.fts,genuine,350.0,-5.0,0.00022413,16.0,348.0442,-4.8799,-155.9565,,,
20090110_144901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_144901_s4h1A.fts,star_spoofing,subtle,20090110_144901_s4h1A.fts,genuine,350.0,-5.0,0.00070402,23.0,348.0706,-4.8686,-155.9633,,,
20090110_152901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_152901_s4h1A.fts,star_spoofing,subtle,20090110_152901_s4h1A.fts,genuine,350.0,-5.0,0.00056147,23.0,348.0971,-4.8573,-155.9498,,,
20090110_160901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_160901_s4h1A.fts,star_spoofing,subtle,20090110_160901_s4h1A.fts,genuine,350.0,-5.0,0.00061926,23.0,348.1246,-4.8428,-155.9716,,,
20090110_164901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_164901_s4h1A.fts,star_spoofing,subtle,20090110_164901_s4h1A.fts,genuine,350.0,-5.0,0.00049475,21.0,348.1521,-4.8294,-155.978,,,
20090110_172901_s4h1A__star_spoofing__subtle.fts,adversarial,350.0,-5.0,0.00029388,13.0,348.1764,-4.8234,-155.9438,20090110_172901_s4h1A.fts,star_spoofing,subtle,20090110_172901_s4h1A.fts,genuine,350.0,-5.0,0.00056923,23.0,348.1769,-4.8237,-155.9491,-0.0004999999999881766,0.0002999999999993008,0.00529999999997699
