filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20091012_072901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_072901_s4h1A.fts,salt_pepper,moderate,20091012_072901_s4h1A.fts,genuine,280.0,-25.0,0.0014882,22.0,275.3459,-23.1564,-176.8044,,,
20091012_080901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_080901_s4h1A.fts,salt_pepper,moderate,20091012_080901_s4h1A.fts,genuine,280.0,-25.0,0.0014016,22.0,275.3767,-23.1562,-176.7916,,,
20091012_084901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_084901_s4h1A.fts,salt_pepper,moderate,20091012_084901_s4h1A.fts,genuine,280.0,-25.0,0.0012748,21.0,275.4088,-23.1541,-176.7814,,,
20091012_092901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00080826,7.0,275.4301,-23.1438,-176.6701,20091012_092901_s4h1A.fts,salt_pepper,moderate,20091012_092901_s4h1A.fts,genuine,280.0,-25.0,0.0012644,21.0,275.4394,-23.1517,-176.7595,-0.00929999999999609,0.007900000000002905,0.08940000000001191
20091012_100901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00058292,8.0,275.4642,-23.147,-176.6841,20091012_100901_s4h1A.fts,salt_pepper,moderate,20091012_100901_s4h1A.fts,genuine,280.0,-25.0,0.00087249,18.0,275.4711,-23.1514,-176.7578,-0.006899999999973261,0.004400000000000404,0.07370000000000232
20091012_112901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_112901_s4h1A.fts,salt_pepper,moderate,20091012_112901_s4h1A.fts,genuine,,,,,,,,,,
20091012_120901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_120901_s4h1A.fts,salt_pepper,moderate,20091012_120901_s4h1A.fts,genuine,280.0,-25.0,0.0011098,19.0,275.5652,-23.1491,-176.7207,,,
20091012_124901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00089789,7.0,275.594,-23.1453,-176.6421,20091012_124901_s4h1A.fts,salt_pepper,moderate,20091012_124901_s4h1A.fts,genuine,280.0,-25.0,0.00081255,18.0,275.5964,-23.1474,-176.7081,-0.0024000000000228283,0.002100000000002211,0.0660000000000025
20091012_132901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_132901_s4h1A.fts,salt_pepper,moderate,20091012_132901_s4h1A.fts,genuine,280.0,-25.0,0.0011459,19.0,275.6279,-23.1454,-176.6932,,,
20091012_140901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_140901_s4h1A.fts,salt_pepper,moderate,20091012_140901_s4h1A.fts,genuine,280.0,-25.0,0.00080878,18.0,275.6591,-23.1446,-176.6792,,,
20091012_144901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_144901_s4h1A.fts,salt_pepper,moderate,20091012_144901_s4h1A.fts,genuine,280.0,-25.0,0.0011245,19.0,275.6907,-23.1438,-176.6708,,,
20091012_152901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_152901_s4h1A.fts,salt_pepper,moderate,20091012_152901_s4h1A.fts,genuine,280.0,-25.0,0.0014311,20.0,275.7216,-23.1421,-176.6515,,,
20091012_160901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00084497,7.0,275.7447,-23.1334,-176.5743,20091012_160901_s4h1A.fts,salt_pepper,moderate,20091012_160901_s4h1A.fts,genuine,280.0,-25.0,0.0011397,19.0,275.7532,-23.1419,-176.65,-0.008499999999969532,0.008499999999997954,0.07570000000001187
20091012_164901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_164901_s4h1A.fts,salt_pepper,moderate,20091012_164901_s4h1A.fts,genuine,280.0,-25.0,0.0013698,20.0,275.7857,-23.14,-176.6341,,,
20091012_172901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_172901_s4h1A.fts,salt_pepper,moderate,20091012_172901_s4h1A.fts,genuine,280.0,-25.0,0.0013659,20.0,275.8157,-23.139,-176.6205,,,
20091012_180901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_180901_s4h1A.fts,salt_pepper,moderate,20091012_180901_s4h1A.fts,genuine,280.0,-25.0,0.0010531,19.0,275.847,-23.1377,-176.6086,,,
20091012_184901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00071135,7.0,275.8695,-23.1251,-176.5096,20091012_184901_s4h1A.fts,salt_pepper,moderate,20091012_184901_s4h1A.fts,genuine,280.0,-25.0,0.0013321,20.0,275.8795,-23.136,-176.5943,-0.009999999999990905,0.010899999999999466,0.084699999999998
20091012_192901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_192901_s4h1A.fts,salt_pepper,moderate,20091012_192901_s4h1A.fts,genuine,320.0,-65.0,0.0013275,20.0,275.9108,-23.1346,-176.5795,,,
20091012_200901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091012_200901_s4h1A.fts,salt_pepper,moderate,20091012_200901_s4h1A.fts,genuine,280.0,-25.0,0.0013119,20.0,275.942,-23.1342,-176.5741,,,
20091012_204901_s4h1A__salt_pepper__moderate.fts,adversarial,320.0,65.0,0.00037921,8.0,275.9654,-23.1277,-176.4819,20091012_204901_s4h1A.fts,salt_pepper,moderate,20091012_204901_s4h1A.fts,genuine,,,,,,,,,,
20091012_220901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.0008091,8.0,276.0273,-23.1235,-176.4536,20091012_220901_s4h1A.fts,salt_pepper,moderate,20091012_220901_s4h1A.fts,genuine,280.0,-25.0,0.0010012,19.0,276.0362,-23.1311,-176.5391,-0.00889999999998281,0.007600000000000051,0.08549999999999613
20091012_232901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00089836,7.0,276.0875,-23.1275,-176.4067,20091012_232901_s4h1A.fts,salt_pepper,moderate,20091012_232901_s4h1A.fts,genuine,290.0,-5.0,11.593,17.0,276.0974,-23.1287,-176.5105,-0.009900000000016007,0.0011999999999972033,0.10380000000000678
20091013_000901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_000901_s4h1A.fts,salt_pepper,moderate,20091013_000901_s4h1A.fts,genuine,280.0,-25.0,0.0011618,21.0,276.13,-23.1284,-176.5047,,,
20091013_004901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_004901_s4h1A.fts,salt_pepper,moderate,20091013_004901_s4h1A.fts,genuine,280.0,-25.0,0.0011496,20.0,276.1599,-23.1269,-176.4858,,,
20091013_012901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00063161,7.0,276.1855,-23.121,-176.4002,20091013_012901_s4h1A.fts,salt_pepper,moderate,20091013_012901_s4h1A.fts,genuine,280.0,-25.0,0.0011722,20.0,276.1925,-23.1258,-176.4754,-0.007000000000005002,0.004800000000003024,0.07519999999999527
20091013_020901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_020901_s4h1A.fts,salt_pepper,moderate,20091013_020901_s4h1A.fts,genuine,280.0,-25.0,0.0011455,20.0,276.2237,-23.1243,-176.4608,,,
20091013_024901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_024901_s4h1A.fts,salt_pepper,moderate,20091013_024901_s4h1A.fts,genuine,280.0,-25.0,0.00091256,19.0,276.2551,-23.1219,-176.4445,,,
20091013_032901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_032901_s4h1A.fts,salt_pepper,moderate,20091013_032901_s4h1A.fts,genuine,280.0,-25.0,0.0010762,21.0,276.2862,-23.1219,-176.4387,,,
20091013_040901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_040901_s4h1A.fts,salt_pepper,moderate,20091013_040901_s4h1A.fts,genuine,280.0,-25.0,0.00075075,21.0,276.3176,-23.1202,-176.4337,,,
20091013_044901_s4h1A__salt_pepper__moderate.fts,adversarial,290.0,75.0,0.00060863,7.0,276.3427,-23.1163,-176.3533,20091013_044901_s4h1A.fts,salt_pepper,moderate,20091013_044901_s4h1A.fts,genuine,280.0,-25.0,0.0011504,23.0,276.3491,-23.1186,-176.412,-0.006400000000041928,0.002300000000001745,0.05870000000001596
20091013_052901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_052901_s4h1A.fts,salt_pepper,moderate,20091013_052901_s4h1A.fts,genuine,280.0,-25.0,0.0011571,22.0,276.38,-23.1179,-176.4007,,,
20091013_060901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_060901_s4h1A.fts,salt_pepper,moderate,20091013_060901_s4h1A.fts,genuine,280.0,-25.0,0.0011275,23.0,276.4119,-23.1156,-176.3866,,,
20091013_064901_s4h1A__salt_pepper__moderate.fts,adversarial,290.0,65.0,0.00040431,8.0,276.4381,-23.1167,-176.3235,20091013_064901_s4h1A.fts,salt_pepper,moderate,20091013_064901_s4h1A.fts,genuine,280.0,-25.0,0.0011514,23.0,276.443,-23.1146,-176.3813,-0.004899999999963711,-0.002100000000002211,0.057800000000014506
20091013_072901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_072901_s4h1A.fts,salt_pepper,moderate,20091013_072901_s4h1A.fts,genuine,280.0,-25.0,0.0010603,24.0,276.4749,-23.1128,-176.3597,,,
20091013_080901_s4h1A__salt_pepper__moderate.fts,adversarial,350.0,85.0,0.83111,5.0,276.4995,-23.1104,-176.2873,20091013_080901_s4h1A.fts,salt_pepper,moderate,20091013_080901_s4h1A.fts,genuine,280.0,-25.0,0.0011389,24.0,276.5063,-23.1133,-176.3532,-0.006799999999998363,0.0029000000000003467,0.06589999999999918
20091013_084901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00048863,8.0,276.5363,-23.1073,-176.3146,20091013_084901_s4h1A.fts,salt_pepper,moderate,20091013_084901_s4h1A.fts,genuine,280.0,-25.0,0.0010223,24.0,276.5384,-23.1118,-176.3377,-0.002100000000041291,0.0045000000000001705,0.023099999999999454
20091013_092901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_092901_s4h1A.fts,salt_pepper,moderate,20091013_092901_s4h1A.fts,genuine,280.0,-25.0,0.0010558,24.0,276.5694,-23.1099,-176.323,,,
20091013_100901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00057499,7.0,276.5934,-23.1077,-176.2513,20091013_100901_s4h1A.fts,salt_pepper,moderate,20091013_100901_s4h1A.fts,genuine,280.0,-25.0,0.00097244,24.0,276.6013,-23.1091,-176.3173,-0.007900000000006457,0.00140000000000029,0.0660000000000025
20091013_104901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.0003843,7.0,276.6261,-23.1028,-176.2335,20091013_104901_s4h1A.fts,salt_pepper,moderate,20091013_104901_s4h1A.fts,genuine,280.0,-25.0,0.0009684,24.0,276.6326,-23.1074,-176.3066,-0.006500000000016826,0.0045999999999999375,0.07310000000001082
20091013_112901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_112901_s4h1A.fts,salt_pepper,moderate,20091013_112901_s4h1A.fts,genuine,280.0,-25.0,0.00098161,24.0,276.6639,-23.1058,-176.2958,,,
20091013_120901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091013_120901_s4h1A.fts,salt_pepper,moderate,20091013_120901_s4h1A.fts,genuine,280.0,-25.0,0.0007876,26.0,276.6954,-23.1053,-176.2815,,,
20091013_124901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00064249,10.0,276.7192,-23.0974,-176.1899,20091013_124901_s4h1A.fts,salt_pepper,moderate,20091013_124901_s4h1A.fts,genuine,280.0,-25.0,0.00098034,25.0,276.727,-23.1037,-176.2691,-0.007799999999974716,0.006299999999999528,0.07920000000001437
20091013_132901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00049188,8.0,276.7547,-23.094,-176.2131,20091013_132901_s4h1A.fts,salt_pepper,moderate,20091013_132901_s4h1A.fts,genuine,280.0,-25.0,0.00095661,25.0,276.7585,-23.1017,-176.2658,-0.00380000000001246,0.007699999999999818,0.052700000000015734
20091013_140901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00068028,8.0,276.7779,-23.098,-176.1103,20091013_140901_s4h1A.fts,salt_pepper,moderate,20091013_140901_s4h1A.fts,genuine,280.0,-25.0,0.0007744,25.0,276.7898,-23.1005,-176.2442,-0.011900000000025557,0.002500000000001279,0.13390000000001123
20091013_144901_s4h1A__salt_pepper__moderate.fts,adversarial,280.0,-25.0,0.00068198,7.0,276.8069,-23.089,-176.1281,20091013_144901_s4h1A.fts,salt_pepper,moderate,20091013_144901_s4h1A.fts,genuine,280.0,-25.0,0.00070471,25.0,276.8157,-23.094,-176.2202,-0.008800000000007913,0.005000000000002558,0.09210000000001628
