filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_184901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0025704,8.0,345.3532,-5.9984,-156.2153,20090107_184901_s4h1A.fts,star_spoofing,very_heavy,20090107_184901_s4h1A.fts,genuine,340.0,-5.0,0.0016919,16.0,345.3538,-5.9998,-156.2212,-0.0005999999999630745,0.0013999999999994017,0.005899999999996908
20090107_192901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090107_192901_s4h1A.fts,star_spoofing,very_heavy,20090107_192901_s4h1A.fts,genuine,340.0,-5.0,0.00088129,14.0,345.3806,-5.9889,-156.223,,,
20090107_200901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.002672,8.0,345.4068,-5.9771,-156.2121,20090107_200901_s4h1A.fts,star_spoofing,very_heavy,20090107_200901_s4h1A.fts,genuine,340.0,-5.0,0.00084408,14.0,345.4076,-5.9788,-156.2209,-0.0008000000000265572,0.0016999999999995907,0.008800000000007913
20090107_212901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.00047238,6.0,345.4598,-5.9546,-156.2027,20090107_212901_s4h1A.fts,star_spoofing,very_heavy,20090107_212901_s4h1A.fts,genuine,340.0,5.0,0.00062063,10.0,345.4605,-5.9562,-156.2116,-0.0007000000000516593,0.0015999999999998238,0.008900000000011232
20090107_224901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090107_224901_s4h1A.fts,star_spoofing,very_heavy,20090107_224901_s4h1A.fts,genuine,340.0,5.0,0.0014174,11.0,345.514,-5.9342,-156.2071,,,
20090108_000901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_000901_s4h1A.fts,star_spoofing,very_heavy,20090108_000901_s4h1A.fts,genuine,340.0,-5.0,0.00051278,11.0,345.5668,-5.9115,-156.2027,,,
20090108_004901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_004901_s4h1A.fts,star_spoofing,very_heavy,20090108_004901_s4h1A.fts,genuine,340.0,-5.0,0.00041452,11.0,345.5936,-5.9007,-156.1989,,,
20090108_012901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0021985,7.0,345.62,-5.8882,-156.1865,20090108_012901_s4h1A.fts,star_spoofing,very_heavy,20090108_012901_s4h1A.fts,genuine,350.0,-55.0,0.001086,14.0,345.6204,-5.8895,-156.1977,-0.0004000000000132786,0.0012999999999996348,0.01120000000000232
20090108_020901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0023218,7.0,345.6464,-5.8772,-156.181,20090108_020901_s4h1A.fts,star_spoofing,very_heavy,20090108_020901_s4h1A.fts,genuine,340.0,5.0,0.0014398,11.0,345.647,-5.8784,-156.1939,-0.0005999999999630745,0.0011999999999998678,0.01290000000000191
20090108_024901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_024901_s4h1A.fts,star_spoofing,very_heavy,20090108_024901_s4h1A.fts,genuine,340.0,5.0,0.00057982,10.0,345.6741,-5.8673,-156.1903,,,
